temperature,alpha,hidden_size,accuracy
10.0,0.825,256,0.9736
6.0,0.9,256,0.9734
10.0,0.9,256,0.9731
10.0,0.75,256,0.9731
5.0,0.9,256,0.9728
1.0,0.75,256,0.9727
10.0,0.625,256,0.9725
3.75,0.625,256,0.9722
7.0,0.625,256,0.9721
7.0,0.5,256,0.972
3.5,0.9,256,0.972
3.0,0.825,256,0.9719
5.0,0.625,256,0.9719
4.0,0.75,256,0.9718
5.0,0.825,256,0.9717
3.0,0.375,256,0.9716
6.0,0.75,256,0.9716
4.0,0.825,256,0.9716
3.75,0.9,256,0.9715
6.0,0.625,256,0.9715
2.0,0.825,256,0.9715
0.5,0.9,256,0.9714
4.0,0.175,256,0.9714
3.0,0.5,256,0.9714
1.0,0.825,256,0.9714
7.0,0.9,256,0.9713
0.5,0.5,256,0.9712
0.5,0.825,256,0.9712
4.0,0.625,256,0.9712
3.75,0.5,256,0.9712
3.75,0.75,256,0.9711
7.0,0.75,256,0.9711
7.0,0.825,256,0.971
0.5,0.175,256,0.9709
1.0,0.625,256,0.9709
3.5,0.625,256,0.9709
5.0,0.5,256,0.9708
5.0,0.75,256,0.9707
3.5,0.375,256,0.9707
7.0,0.375,256,0.9707
0.5,0.75,256,0.9706
10.0,0.5,256,0.9705
3.0,0.625,256,0.9705
4.0,0.9,256,0.9705
3.0,0.75,256,0.9704
6.0,0.5,256,0.9704
3.0,0.25,256,0.9702
6.0,0.825,256,0.9702
0.5,0.375,256,0.9702
10.0,0.375,256,0.9701
2.0,0.625,256,0.9701
3.0,0.9,256,0.9701
4.0,0.5,256,0.97
3.75,0.825,256,0.97
3.0,0.175,256,0.9699
0.5,0.25,256,0.9699
3.5,0.75,256,0.9698
3.5,0.1,256,0.9698
3.75,0.375,256,0.9698
2.0,0.9,256,0.9697
10.0,0.25,256,0.9697
1.0,0.1,256,0.9696
6.0,0.375,256,0.9695
0.5,0.625,256,0.9694
5.0,0.1,256,0.9694
5.0,0.25,256,0.9693
1.0,0.375,256,0.9692
6.0,0.25,256,0.9692
3.5,0.25,256,0.9692
2.0,0.75,256,0.9692
2.0,0.25,256,0.9692
5.0,0.375,256,0.9691
1.0,0.9,256,0.9691
3.5,0.175,256,0.9691
1.0,0.175,256,0.9691
3.75,0.1,256,0.969
3.5,0.5,256,0.969
4.0,0.25,256,0.9689
6.0,0.175,256,0.9688
2.0,0.175,256,0.9687
3.75,0.25,256,0.9687
3.5,0.825,256,0.9686
7.0,0.25,256,0.9686
5.0,0.175,256,0.9686
2.0,0.5,256,0.9685
6.0,0.1,256,0.9684
4.0,0.1,256,0.9684
7.0,0.1,256,0.9683
1.0,0.25,256,0.9683
4.0,0.375,256,0.9683
2.0,0.375,256,0.9682
7.0,0.175,256,0.968
1.0,0.5,256,0.9675
0.5,0.1,256,0.9674
10.0,0.1,256,0.9674
3.0,0.1,256,0.967
2.0,0.1,256,0.9669
10.0,0.75,128,0.9669
3.75,0.175,256,0.9668
7.0,0.75,128,0.9666
10.0,0.175,256,0.9659
6.0,0.9,128,0.9658
1.0,0.625,128,0.9656
5.0,0.825,128,0.9656
7.0,0.9,128,0.9656
10.0,0.9,128,0.9655
10.0,0.825,128,0.9654
3.5,0.625,128,0.9653
6.0,0.825,128,0.9649
3.75,0.5,128,0.9649
0.5,0.1,128,0.9649
4.0,0.825,128,0.9648
4.0,0.75,128,0.9648
10.0,0.625,128,0.9645
7.0,0.825,128,0.9645
2.0,0.375,128,0.9645
4.0,0.375,128,0.9644
3.0,0.75,128,0.9644
0.5,0.625,128,0.9642
0.5,0.9,128,0.9641
10.0,0.9,96,0.964
5.0,0.9,128,0.964
10.0,0.5,128,0.9639
7.0,0.625,128,0.9638
0.5,0.375,128,0.9638
6.0,0.375,128,0.9637
4.0,0.625,128,0.9637
5.0,0.625,128,0.9637
3.5,0.825,128,0.9637
3.75,0.825,128,0.9635
3.75,0.625,128,0.9634
3.0,0.5,128,0.9633
3.0,0.625,128,0.9632
6.0,0.625,128,0.9632
6.0,0.75,128,0.9632
5.0,0.75,128,0.9632
1.0,0.1,128,0.9631
3.5,0.25,128,0.9631
2.0,0.5,128,0.963
3.75,0.175,128,0.9629
3.5,0.375,128,0.9629
4.0,0.25,128,0.9629
3.75,0.1,128,0.9628
3.75,0.375,128,0.9627
7.0,0.5,128,0.9627
0.5,0.75,128,0.9627
3.5,0.75,128,0.9627
5.0,0.1,128,0.9627
3.0,0.25,128,0.9626
4.0,0.1,128,0.9626
5.0,0.5,128,0.9625
1.0,0.5,128,0.9625
5.0,0.25,128,0.9625
2.0,0.75,128,0.9625
3.75,0.75,128,0.9624
1.0,0.75,128,0.9624
1.0,0.825,128,0.9624
3.0,0.9,128,0.9624
2.0,0.9,128,0.9624
0.5,0.175,128,0.9624
5.0,0.9,96,0.9623
5.0,0.175,128,0.9623
10.0,0.1,128,0.9623
3.75,0.625,96,0.9623
7.0,0.375,128,0.9623
3.75,0.25,128,0.9623
0.5,0.5,128,0.9622
6.0,0.25,128,0.9621
10.0,0.375,128,0.9621
10.0,0.825,96,0.962
5.0,0.375,128,0.9619
7.0,0.25,128,0.9619
2.0,0.625,128,0.9619
7.0,0.625,96,0.9619
6.0,0.625,96,0.9618
0.5,0.825,96,0.9617
10.0,0.25,128,0.9616
7.0,0.175,128,0.9616
0.5,0.825,128,0.9616
6.0,0.75,96,0.9616
7.0,0.1,128,0.9615
7.0,0.9,96,0.9615
2.0,0.825,128,0.9615
1.0,0.25,128,0.9615
4.0,0.175,128,0.9614
6.0,0.5,128,0.9614
3.75,0.9,128,0.9614
2.0,0.25,128,0.9612
10.0,0.375,96,0.9611
0.5,0.375,96,0.9611
6.0,0.5,96,0.9609
10.0,0.175,128,0.9609
3.5,0.9,128,0.9609
0.5,0.5,96,0.9608
4.0,0.9,96,0.9608
3.5,0.5,128,0.9607
1.0,0.9,128,0.9607
3.0,0.825,128,0.9607
3.5,0.175,128,0.9606
7.0,0.825,96,0.9606
0.5,0.25,128,0.9606
4.0,0.5,128,0.9606
5.0,0.25,96,0.9605
4.0,0.9,128,0.9605
6.0,0.825,96,0.9605
3.5,0.375,96,0.9605
7.0,0.75,96,0.9605
5.0,0.175,96,0.9604
3.0,0.175,128,0.9604
5.0,0.825,96,0.9604
4.0,0.25,96,0.9604
5.0,0.75,96,0.9603
6.0,0.9,96,0.9603
4.0,0.625,96,0.9602
3.0,0.1,128,0.9602
7.0,0.5,96,0.9602
6.0,0.375,96,0.9601
2.0,0.175,128,0.9601
3.5,0.825,96,0.9601
5.0,0.375,96,0.96
3.75,0.825,96,0.96
1.0,0.175,128,0.96
0.5,0.175,96,0.9599
6.0,0.1,128,0.9599
3.0,0.375,128,0.9599
1.0,0.1,96,0.9598
2.0,0.9,96,0.9597
10.0,0.625,96,0.9597
3.5,0.1,128,0.9597
10.0,0.75,96,0.9597
0.5,0.25,96,0.9596
3.75,0.75,96,0.9594
1.0,0.375,128,0.9594
3.0,0.625,96,0.9593
0.5,0.1,96,0.9592
4.0,0.825,96,0.9592
4.0,0.175,96,0.9591
6.0,0.1,96,0.9591
4.0,0.1,96,0.9591
2.0,0.375,96,0.959
3.75,0.5,96,0.9589
2.0,0.625,96,0.9588
3.5,0.1,96,0.9587
2.0,0.1,128,0.9587
5.0,0.5,96,0.9587
3.75,0.175,96,0.9586
3.0,0.9,96,0.9586
5.0,0.625,96,0.9586
2.0,0.825,96,0.9586
3.75,0.1,96,0.9586
5.0,0.1,96,0.9586
1.0,0.5,96,0.9586
1.0,0.75,96,0.9586
7.0,0.1,96,0.9585
10.0,0.5,96,0.9585
6.0,0.175,128,0.9585
1.0,0.25,96,0.9584
3.5,0.625,96,0.9584
3.75,0.375,96,0.9583
0.5,0.75,96,0.9583
3.5,0.75,96,0.9582
4.0,0.75,96,0.9581
4.0,0.375,96,0.958
1.0,0.625,96,0.958
7.0,0.375,96,0.958
3.0,0.75,96,0.958
10.0,0.1,96,0.9577
3.5,0.9,96,0.9576
1.0,0.175,96,0.9576
4.0,0.5,96,0.9575
1.0,0.9,96,0.9575
1.0,0.375,96,0.9574
7.0,0.175,96,0.9574
3.5,0.175,96,0.9574
3.5,0.25,96,0.9574
3.0,0.1,96,0.9573
6.0,0.25,96,0.9572
2.0,0.75,96,0.9571
7.0,0.25,96,0.9571
0.5,0.9,96,0.9571
10.0,0.25,96,0.957
1.0,0.625,64,0.957
10.0,0.175,96,0.957
0.5,0.9,64,0.9569
3.0,0.5,96,0.9568
3.5,0.5,96,0.9568
3.75,0.25,96,0.9567
3.0,0.825,96,0.9567
0.5,0.625,96,0.9565
3.75,0.625,64,0.9564
3.0,0.25,96,0.9563
6.0,0.825,64,0.9561
0.5,0.175,64,0.9561
3.0,0.175,96,0.9561
2.0,0.5,96,0.9561
2.0,0.175,96,0.956
3.0,0.375,96,0.9556
7.0,0.825,64,0.9553
2.0,0.25,96,0.9551
10.0,0.75,64,0.9551
1.0,0.375,64,0.955
10.0,0.825,64,0.9549
4.0,0.625,64,0.9548
6.0,0.5,64,0.9548
6.0,0.75,64,0.9548
6.0,0.175,96,0.9547
2.0,0.1,96,0.9545
3.75,0.9,96,0.9542
0.5,0.75,64,0.9542
0.5,0.1,64,0.9542
1.0,0.825,96,0.9542
5.0,0.625,64,0.954
10.0,0.625,64,0.9537
5.0,0.9,64,0.9534
4.0,0.5,64,0.9534
3.75,0.9,64,0.9533
3.5,0.75,64,0.9531
7.0,0.75,64,0.953
1.0,0.1,64,0.953
7.0,0.5,64,0.9529
4.0,0.75,64,0.9529
3.0,0.625,64,0.9528
10.0,0.1,64,0.9528
10.0,0.5,64,0.9525
0.5,0.5,64,0.9525
3.5,0.825,64,0.9525
4.0,0.1,64,0.9525
2.0,0.9,64,0.9524
6.0,0.175,64,0.9524
10.0,0.9,64,0.9523
2.0,0.75,64,0.9523
0.5,0.625,64,0.9522
6.0,0.25,64,0.9522
0.5,0.25,64,0.9522
3.5,0.1,64,0.9521
5.0,0.75,64,0.9519
5.0,0.5,64,0.9519
0.5,0.375,64,0.9518
6.0,0.625,64,0.9517
7.0,0.625,64,0.9517
1.0,0.25,64,0.9517
4.0,0.9,64,0.9516
4.0,0.25,64,0.9516
3.75,0.25,64,0.9516
3.75,0.5,64,0.9516
3.75,0.375,64,0.9516
1.0,0.5,64,0.9515
0.5,0.825,64,0.9514
5.0,0.825,64,0.9514
0.5,0.1,48,0.9514
3.75,0.825,64,0.9513
3.5,0.5,64,0.9513
7.0,0.9,64,0.9512
3.0,0.5,64,0.9511
1.0,0.825,64,0.9511
2.0,0.375,64,0.9509
5.0,0.1,64,0.9509
3.0,0.375,64,0.9509
3.75,0.75,64,0.9508
1.0,0.175,64,0.9508
1.0,0.75,64,0.9508
3.0,0.825,64,0.9508
3.0,0.75,64,0.9508
3.75,0.1,64,0.9507
4.0,0.825,64,0.9507
3.5,0.625,64,0.9507
7.0,0.375,64,0.9506
0.5,0.825,48,0.9506
10.0,0.25,64,0.9506
3.75,0.175,64,0.9506
6.0,0.9,64,0.9503
3.5,0.25,64,0.9503
7.0,0.9,48,0.9503
4.0,0.375,64,0.9502
1.0,0.9,64,0.9501
2.0,0.9,48,0.95
2.0,0.625,48,0.95
3.0,0.175,64,0.95
4.0,0.375,48,0.9499
6.0,0.75,48,0.9499
3.0,0.9,64,0.9499
0.5,0.375,48,0.9499
5.0,0.375,64,0.9498
10.0,0.375,64,0.9498
6.0,0.625,48,0.9495
1.0,0.75,48,0.9495
7.0,0.25,64,0.9495
3.5,0.375,64,0.9494
3.5,0.175,64,0.9494
5.0,0.175,64,0.9494
0.5,0.25,48,0.9493
7.0,0.1,64,0.9493
6.0,0.1,64,0.9493
7.0,0.175,64,0.9493
10.0,0.825,48,0.9492
3.5,0.9,64,0.9491
1.0,0.825,48,0.9489
2.0,0.1,64,0.9486
2.0,0.625,64,0.9486
3.0,0.1,64,0.9486
10.0,0.625,48,0.9485
1.0,0.625,48,0.9485
0.5,0.5,48,0.9485
7.0,0.75,48,0.9485
2.0,0.175,64,0.9484
2.0,0.5,64,0.9484
6.0,0.825,48,0.9483
3.75,0.625,48,0.9482
2.0,0.25,64,0.9482
0.5,0.75,48,0.9482
10.0,0.75,48,0.9482
0.5,0.9,48,0.9481
7.0,0.625,48,0.9481
1.0,0.375,48,0.9481
5.0,0.25,64,0.948
1.0,0.25,48,0.9479
3.75,0.9,48,0.9479
0.5,0.625,48,0.9479
5.0,0.9,48,0.9477
1.0,0.9,48,0.9476
7.0,0.825,48,0.9475
4.0,0.175,48,0.9475
3.5,0.75,48,0.9474
0.5,0.175,48,0.9474
2.0,0.825,64,0.9473
5.0,0.75,48,0.9471
2.0,0.175,48,0.947
3.75,0.25,48,0.9469
10.0,0.175,64,0.9467
3.75,0.5,48,0.9466
1.0,0.5,48,0.9466
1.0,0.1,48,0.9465
4.0,0.175,64,0.9463
3.0,0.25,64,0.9463
6.0,0.375,64,0.9462
2.0,0.825,48,0.9462
3.5,0.9,48,0.9461
3.5,0.5,48,0.946
2.0,0.25,48,0.9459
10.0,0.9,48,0.9459
5.0,0.825,48,0.9458
3.5,0.1,48,0.9458
6.0,0.9,48,0.9458
5.0,0.5,48,0.9458
0.5,0.5,32,0.9458
0.5,0.825,32,0.9457
4.0,0.9,48,0.9456
4.0,0.825,48,0.9455
5.0,0.175,48,0.9453
5.0,0.625,48,0.9453
2.0,0.375,48,0.9453
3.5,0.625,48,0.9453
10.0,0.375,48,0.9451
6.0,0.1,48,0.9451
10.0,0.5,48,0.9451
3.0,0.175,48,0.945
2.0,0.1,48,0.945
1.0,0.175,48,0.945
3.5,0.825,48,0.945
3.0,0.825,48,0.9449
5.0,0.1,48,0.9449
3.5,0.175,48,0.9448
7.0,0.375,48,0.9447
2.0,0.75,48,0.9447
7.0,0.5,48,0.9446
6.0,0.375,48,0.9446
5.0,0.375,48,0.9443
3.0,0.9,48,0.9443
4.0,0.625,48,0.9442
3.5,0.25,48,0.9442
3.0,0.25,48,0.9441
3.75,0.825,48,0.9438
6.0,0.5,48,0.9438
3.75,0.175,48,0.9437
4.0,0.75,48,0.9436
3.75,0.375,48,0.9432
3.0,0.375,48,0.9431
3.0,0.75,48,0.943
2.0,0.5,48,0.943
3.5,0.375,48,0.9429
3.0,0.5,48,0.9428
4.0,0.1,48,0.9428
6.0,0.25,48,0.9426
3.0,0.625,48,0.9425
10.0,0.25,48,0.9421
7.0,0.1,48,0.9421
7.0,0.175,48,0.942
10.0,0.175,48,0.942
10.0,0.1,48,0.9419
6.0,0.175,48,0.9418
3.75,0.75,48,0.9417
4.0,0.5,48,0.9417
4.0,0.25,48,0.9416
10.0,0.75,32,0.9416
1.0,0.625,32,0.9416
3.0,0.1,48,0.9413
3.5,0.9,32,0.941
1.0,0.25,32,0.9409
5.0,0.625,32,0.9409
1.0,0.825,32,0.9408
3.75,0.1,48,0.9407
0.5,0.375,32,0.9406
1.0,0.375,32,0.9406
1.0,0.175,32,0.9405
0.5,0.1,32,0.9403
0.5,0.175,32,0.9403
0.5,0.625,32,0.9403
10.0,0.5,32,0.9402
1.0,0.5,32,0.9399
7.0,0.25,48,0.9398
5.0,0.25,48,0.9397
1.0,0.1,32,0.9393
7.0,0.825,32,0.9392
3.75,0.75,32,0.939
4.0,0.825,32,0.939
0.5,0.25,32,0.9389
3.5,0.175,32,0.9386
1.0,0.9,32,0.9385
0.5,0.9,32,0.9384
2.0,0.625,32,0.9384
3.5,0.825,32,0.9384
1.0,0.75,32,0.9384
6.0,0.9,32,0.9383
2.0,0.9,32,0.9383
2.0,0.75,32,0.9372
3.0,0.375,32,0.937
5.0,0.825,32,0.9369
0.5,0.75,32,0.9368
3.5,0.75,32,0.9367
0.5,0.175,16,0.9367
0.5,0.1,16,0.9366
3.75,0.625,32,0.9366
5.0,0.75,32,0.9365
7.0,0.75,32,0.9363
3.0,0.825,32,0.9362
3.5,0.625,32,0.9361
4.0,0.5,32,0.936
7.0,0.9,32,0.9358
3.5,0.375,32,0.9358
2.0,0.375,32,0.9358
2.0,0.5,32,0.9358
10.0,0.825,32,0.9357
4.0,0.25,32,0.9357
3.75,0.375,32,0.9355
6.0,0.75,32,0.9354
4.0,0.9,32,0.9353
2.0,0.175,32,0.9353
5.0,0.375,32,0.9353
7.0,0.625,32,0.9353
10.0,0.9,32,0.9353
2.0,0.825,32,0.9352
3.0,0.1,32,0.9352
3.75,0.9,32,0.9351
6.0,0.375,32,0.9349
7.0,0.375,32,0.9346
2.0,0.25,32,0.9346
3.75,0.1,32,0.9346
3.75,0.825,32,0.9346
6.0,0.625,32,0.9343
3.5,0.25,32,0.9343
5.0,0.5,32,0.9343
3.5,0.1,32,0.9343
4.0,0.75,32,0.9342
10.0,0.25,32,0.934
6.0,0.825,32,0.9339
3.75,0.5,32,0.9338
0.5,0.375,16,0.9338
3.0,0.9,32,0.9337
2.0,0.1,32,0.9335
5.0,0.1,32,0.9335
10.0,0.625,32,0.9331
3.0,0.5,32,0.9331
5.0,0.25,32,0.9328
3.0,0.625,32,0.9325
4.0,0.625,32,0.9322
1.0,0.5,16,0.9321
4.0,0.375,32,0.9319
3.0,0.25,32,0.9315
3.0,0.75,32,0.9312
3.0,0.175,32,0.9312
4.0,0.1,32,0.9309
7.0,0.5,32,0.9307
2.0,0.825,16,0.9306
0.5,0.25,16,0.9305
3.75,0.25,32,0.9303
3.5,0.5,32,0.93
6.0,0.1,32,0.9299
7.0,0.1,32,0.9297
4.0,0.175,32,0.9295
6.0,0.25,32,0.9294
6.0,0.5,32,0.9293
5.0,0.9,16,0.9293
7.0,0.25,32,0.9292
3.75,0.175,32,0.929
6.0,0.175,32,0.9289
5.0,0.9,32,0.9288
7.0,0.175,32,0.9288
0.5,0.75,16,0.9284
1.0,0.9,16,0.928
0.5,0.825,16,0.928
5.0,0.175,32,0.9275
10.0,0.375,32,0.9275
1.0,0.175,16,0.9271
0.5,0.625,16,0.9269
10.0,0.175,32,0.9268
10.0,0.1,32,0.9264
1.0,0.825,16,0.9262
2.0,0.1,16,0.9262
1.0,0.625,16,0.9259
1.0,0.25,16,0.9259
0.5,0.9,16,0.9258
1.0,0.375,16,0.9258
2.0,0.5,16,0.9257
1.0,0.1,16,0.9254
3.75,0.5,16,0.9241
1.0,0.75,16,0.9239
3.0,0.75,16,0.9232
3.75,0.75,16,0.9231
2.0,0.625,16,0.9231
0.5,0.5,16,0.9228
2.0,0.9,16,0.9226
2.0,0.375,16,0.9222
4.0,0.825,16,0.9219
2.0,0.75,16,0.9218
6.0,0.825,16,0.9215
3.75,0.9,16,0.9212
3.0,0.9,16,0.9207
3.0,0.375,16,0.9205
3.5,0.825,16,0.9203
4.0,0.5,16,0.9199
3.0,0.825,16,0.9195
10.0,0.825,16,0.9194
4.0,0.9,16,0.9193
7.0,0.9,16,0.9192
10.0,0.9,16,0.9189
2.0,0.25,16,0.9189
2.0,0.175,16,0.9186
4.0,0.75,16,0.9185
3.0,0.625,16,0.9185
5.0,0.825,16,0.9184
3.5,0.375,16,0.9182
3.5,0.9,16,0.918
4.0,0.1,16,0.9179
3.5,0.5,16,0.9178
6.0,0.9,16,0.9177
3.5,0.625,16,0.9175
3.0,0.175,16,0.9173
3.0,0.5,16,0.9169
4.0,0.375,16,0.9167
7.0,0.75,16,0.9167
3.5,0.1,16,0.9163
10.0,0.75,16,0.9161
3.0,0.25,16,0.916
3.75,0.825,16,0.9158
3.75,0.175,16,0.9156
3.5,0.175,16,0.9153
3.5,0.75,16,0.9153
3.0,0.1,16,0.9148
6.0,0.75,16,0.9147
7.0,0.625,16,0.9146
5.0,0.75,16,0.9143
7.0,0.825,16,0.914
4.0,0.175,16,0.9136
3.5,0.25,16,0.9136
6.0,0.5,16,0.9134
3.75,0.625,16,0.913
5.0,0.175,16,0.9128
6.0,0.375,16,0.9115
3.75,0.1,16,0.9114
4.0,0.625,16,0.9113
3.75,0.25,16,0.9106
4.0,0.25,16,0.91
3.75,0.375,16,0.9092
10.0,0.375,16,0.9086
6.0,0.625,16,0.9086
6.0,0.25,16,0.9082
10.0,0.625,16,0.9081
5.0,0.25,16,0.908
5.0,0.5,16,0.9056
5.0,0.625,16,0.9054
5.0,0.375,16,0.9048
5.0,0.1,16,0.9047
7.0,0.25,16,0.9042
10.0,0.25,16,0.9023
7.0,0.1,16,0.9021
10.0,0.1,16,0.9018
7.0,0.5,16,0.8989
10.0,0.175,16,0.8989
10.0,0.5,16,0.8981
7.0,0.375,16,0.8979
6.0,0.175,16,0.8973
7.0,0.175,16,0.8973
6.0,0.1,16,0.8951
